test,arch,platform,passed,status,extra_args,handler,handler_time,ram_size,rom_size
samples/application_development/external_lib/sample.app_dev.external_lib,arm,96b_argonkey,True,,,na,,16502,13594
samples/basic/blinky/sample.blinky,arm,96b_argonkey,True,,,na,,15032,12088
samples/basic/button/sample.button,arm,96b_argonkey,True,,,na,,15180,12296
samples/basic/threads/sample.threads,arm,96b_argonkey,True,,,na,,25710,21234
samples/boards/96b_argonkey/microphone/sample.board.96b_argonkey.microphone,arm,96b_argonkey,True,,,na,,269058,29656
samples/boards/96b_argonkey/sensors/sample.board.96b_argonkey.sensors,arm,96b_argonkey,True,,,na,,57111,55683
samples/cpp_synchronization/sample.cpp_syncronisation,arm,96b_argonkey,True,,,na,,18194,13218
samples/display/grove_display/sample.display.grove_display,arm,96b_argonkey,True,,,na,,18388,15444
samples/drivers/crypto/sample.driver.crypto.mbedtls,arm,96b_argonkey,True,,CONF_FILE=prj_mtls_shim.conf,na,,41822,47735
samples/drivers/crypto/sample.driver.crypto.mbedtls.micro,arm,96b_argonkey,True,,,na,,32870,31323
samples/drivers/current_sensing/sample.driver.current_sensing,arm,96b_argonkey,True,,,na,,16574,13682
samples/drivers/entropy/sample.driver.entropy,arm,96b_argonkey,True,,,na,,18134,15402
samples/drivers/gpio/sample.driver.gpio,arm,96b_argonkey,True,,,na,,15244,12436
samples/drivers/i2c_fujitsu_fram/sample.driver.i2c_fujitsu_fram,arm,96b_argonkey,True,,,na,,0,0
samples/drivers/led_apa102c_bitbang/sample.driver.led_apa102c_bitbang,arm,96b_argonkey,True,,,na,,0,0
samples/drivers/led_lp3943/sample.driver.led_lp3943,arm,96b_argonkey,True,,,na,,29647,26324
samples/drivers/spi_flash/sample.driver.spi_flash,arm,96b_argonkey,True,,,na,,0,0
samples/drivers/spi_flash/sample.driver.spi_flash_dpd,arm,96b_argonkey,True,,,na,,0,0
samples/drivers/spi_fujitsu_fram/sample.driver.spi_fujitsu_fram,arm,96b_argonkey,True,,,na,,19328,15064
samples/hello_world/sample.helloworld,arm,96b_argonkey,True,,,na,,13740,10828
samples/mpu/mpu_test/sample.mpu.mpu_test,arm,96b_argonkey,True,,,na,,45532,42576
samples/net/sockets/big_http_download/sample.net.sockets.big_http_download,arm,96b_argonkey,True,,,na,,109613,93482
samples/net/sockets/big_http_download/sample.net.sockets.big_http_download.posix,arm,96b_argonkey,True,,,na,,111421,93874
samples/net/sockets/dumb_http_server/sample.net.sockets.dumb_http_server,arm,96b_argonkey,True,,,na,,69724,57740
samples/net/sockets/dumb_http_server/sample.net.sockets.dumb_http_server.posix,arm,96b_argonkey,True,,,na,,71520,58120
samples/net/sockets/dumb_http_server_mt/sample.net.sockets.dumb_http_server_mt,arm,96b_argonkey,True,,,na,,174800,109096
samples/net/sockets/http_client/sample.net.sockets.http_client,arm,96b_argonkey,True,,,na,,118490,113226
samples/net/sockets/http_get/sample.net.sockets.http_get,arm,96b_argonkey,True,,,na,,95929,79542
samples/net/sockets/http_get/sample.net.sockets.http_get.posix,arm,96b_argonkey,True,,,na,,97725,79922
samples/net/sockets/websocket_client/sample.net.sockets.websocket_client,arm,96b_argonkey,True,,,na,,132562,123414
samples/nfc/nfc_hello/sample.nfc.hello,arm,96b_argonkey,True,,,na,,18890,15586
samples/philosophers/sample.philosopher,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1,na,,27784,21920
samples/philosophers/sample.philosopher.coop_only,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1,na,,26730,20910
samples/philosophers/sample.philosopher.fifos,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DFORKS=FIFOS,na,,27784,21920
samples/philosophers/sample.philosopher.lifos,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DFORKS=LIFOS,na,,27784,21920
samples/philosophers/sample.philosopher.preempt_only,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1,na,,27776,21900
samples/philosophers/sample.philosopher.same_prio,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DSAME_PRIO=1,na,,27784,21920
samples/philosophers/sample.philosopher.semaphores,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DFORKS=SEMAPHORES,na,,27784,21920
samples/philosophers/sample.philosopher.stacks,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DFORKS=STACKS,na,,27784,21920
samples/philosophers/sample.philosopher.static,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DSTATIC_OBJS=1,na,,27784,21920
samples/philosophers/sample.philosopher.tracing,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1,na,,27784,21920
samples/portability/cmsis_rtos_v1/philosophers/sample.philosopher,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1,na,,29898,24450
samples/portability/cmsis_rtos_v1/philosophers/sample.philosopher.same_prio,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DSAME_PRIO=1,na,,29898,24450
samples/portability/cmsis_rtos_v1/philosophers/sample.philosopher.semaphores,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DFORKS=SEMAPHORES,na,,29898,24450
samples/portability/cmsis_rtos_v1/timer_synchronization/sample.portability.cmsis_rtos_v1.timer_synchronization,arm,96b_argonkey,True,,,na,,25954,23714
